This image is a four-column data table representing supply and demand schedules.

### Table Structure
*   **Columns:** 4
*   **Rows:** 12 (1 header row + 11 data rows)

### Header Labels (Row 1)
*   **Column 1:** "Price"
*   **Column 2:** "Quantity demanded"
*   **Column 3:** "Initial Quantity Supplied"
*   **Column 4:** "NEW: Quantity Supplied after change"

### Data Rows (Rows 2–12)

| Price | Quantity demanded | Initial Quantity Supplied | NEW: Quantity Supplied after change |
| :--- | :--- | :--- | :--- |
| 0 | 40 | 0 | 0 |
| 1 | 36 | 0 | 4 |
| 2 | 32 | 0 | 8 |
| 3 | 28 | 4 | 12 |
| 4 | 24 | 8 | 16 |
| 5 | 20 | 12 | 20 |
| 6 | 16 | 16 | 24 |
| 7 | 12 | 20 | 28 |
| 8 | 8 | 24 | 32 |
| 9 | 4 | 28 | 36 |
| 10 | 0 | 32 | 40 |
