The image displays five chemical equations with their corresponding enthalpy values (in kJ/mol) arranged in a two-column format. The left column contains the chemical equations, and the right column contains the associated numerical values.

**Chemical Equations and Values:**

1.  **Row 1:**
    *   Equation: $\text{K}(s) \to \text{K}(g)$
    *   Value: $89.24 \text{ kJ/mol}$

2.  **Row 2:**
    *   Equation: $\text{K}(g) \to \text{K}^+(g) + \text{e}^-$
    *   Value: $419 \text{ kJ/mol}$

3.  **Row 3:**
    *   Equation: $\text{Br}_2(g) \to 2\text{Br}(g)$
    *   Value: $193 \text{ kJ/mol}$

4.  **Row 4:**
    *   Equation: $\text{Br}(g) + \text{e}^- \to \text{Br}^-(g)$
    *   Value: $-325 \text{ kJ/mol}$

5.  **Row 5:**
    *   Equation: $\text{K}(s) + \frac{1}{2}\text{Br}_2(g) \to \text{KBr}(s)$
    *   Value: $-394 \text{ kJ/mol}$

**Formatting Details:**
*   The text is presented in a serif font.
*   States of matter are enclosed in parentheses: $(s)$ for solid, $(g)$ for gas.
*   The electron is represented as $\text{e}^-$.
*   The potassium ion is represented as $\text{K}^+$.
*   The bromide ion is represented as $\text{Br}^-$.
*   Fractions are represented using a superscript-style fraction bar for the $1/2$ coefficient.
