This is an image of two side-by-side data tables representing economic supply and demand schedules for two regions: "Maxistan" and "Theopolis".

### Table Structure
*   The image consists of two primary sections: "Maxistan" (left) and "Theopolis" (right).
*   Each section is a table with three columns: **P** (Price), **Qd** (Quantity demanded), and **Qs** (Quantity supplied).
*   Both tables contain 14 rows of data plus a header row.

---

### Data: Maxistan
| P | Qd | Qs |
| :--- | :--- | :--- |
| $0 | 800 | 0 |
| $1 | 750 | 75 |
| $2 | 700 | 100 |
| $3 | 650 | 125 |
| $4 | 600 | 150 |
| $5 | 550 | 175 |
| $6 | 500 | 200 |
| $7 | 450 | 225 |
| $8 | 400 | 250 |
| $9 | 350 | 275 |
| $10 | 300 | 300 |
| $11 | 250 | 325 |
| $12 | 200 | 350 |
| $13 | 150 | 375 |

---

### Data: Theopolis
| P | Qd | Qs |
| :--- | :--- | :--- |
| $0 | 500 | 100 |
| $1 | 650 | 125 |
| $2 | 600 | 150 |
| $3 | 550 | 175 |
| $4 | 500 | 200 |
| $5 | 450 | 225 |
| $6 | 400 | 250 |
| $7 | 350 | 275 |
| $8 | 300 | 300 |
| $9 | 250 | 325 |
| $10 | 200 | 350 |
| $11 | 100 | 375 |
| $12 | 50 | 400 |
| $13 | 0 | 425 |

*(Note: There is a typographical inconsistency in the first two rows of the Theopolis "Qd" column: at $0, Qd is 500; at $1, Qd increases to 650, before following a consistent downward trend from $1 onwards.)*
